Area,Date,Assets,,,,,,,,
USA,08/09/2019,3781543,,,,,,,,
USA,16/08/2019,3786018,,,,,,,,
USA,23/08/2019,3764866,,,,,,,,
USA,30/08/2019,3759946,,,,,,,,
USA,09/06/2019,3761508,,,,,,,,
USA,13/09/2019,3769673,,,,,,,,
USA,20/09/2019,3844695,,,,,,,,
USA,27/09/2019,3857715,,,,,,,,
USA,10/04/2019,3945831,,,,,,,,
USA,10/11/2019,3949955,,,,,,,,
USA,18/10/2019,3966471,,,,,,,,
USA,25/10/2019,3968700,,,,,,,,
USA,11/01/2019,4019823,,,,,,,,
USA,11/08/2019,4039443,,,,,,,,
USA,15/11/2019,4047882,,,,,,,,
USA,22/11/2019,4030249,,,,,,,,
USA,29/11/2019,4052875,,,,,,,,
USA,12/06/2019,4065696,,,,,,,,
USA,13/12/2019,4095491,,,,,,,,
USA,20/12/2019,4137052,,,,,,,,
USA,27/12/2019,4165591,,,,,,,,
USA,01/03/2020,4173626,,,,,,,,
USA,01/10/2020,4149544,,,,,,,,
USA,17/01/2020,4175850,,,,,,,,
USA,24/01/2020,4145912,,,,,,,,
USA,31/01/2020,4151630,,,,,,,,
USA,02/07/2020,4166707,,,,,,,,
USA,14/02/2020,4182689,,,,,,,,
USA,21/02/2020,4171570,,,,,,,,
USA,28/02/2020,4158637,,,,,,,,
USA,03/06/2020,4241507,,,,,,,,
USA,13/03/2020,4311911,,,,,,,,
USA,20/03/2020,4668212,,,,,,,,
USA,27/03/2020,5254278,,,,,,,,
USA,04/03/2020,5811607,,,,,,,,
USA,04/10/2020,6083141,,,,,,,,
USA,17/04/2020,6367887,,,,,,,,
USA,24/04/2020,6573136,,,,,,,,
USA,05/01/2020,6655929,,,,,,,,
USA,05/08/2020,6721420,,,,,,,,
USA,15/05/2020,6934227,,,,,,,,
USA,22/05/2020,7037258,,,,,,,,
USA,29/05/2020,7097316,,,,,,,,
USA,06/05/2020,7165217,,,,,,,,
USA,06/12/2020,7168936,,,,,,,,
USA,19/06/2020,7094690,,,,,,,,
USA,26/06/2020,7082302,,,,,,,,
USA,07/03/2020,7009040,,,,,,,,
USA,07/10/2020,6920716,,,,,,,,
USA,17/07/2020,6958604,,,,,,,,
